Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Dendritic cells resting,Dendritic cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
9088,0,0.0220184469590666,0.0173542599883897,0,0.0505391568991877,0.111896900362141,0.0504955801569376,0,0,0.0684871659930729,0.0134584031071511,0.126084170571251,0,0,0,0.539665915962802,0,0.496385800356405,1.00853307569383
9089,0,0.0549840969944139,0,0,0.0435155633699214,0,0.00333603122367769,0.0224469749593117,0,0.0412138520713673,0,0.120416753412051,0.0128290117326881,0,0,0.701257716236569,0,0.474335690917094,1.15396380130729
9091,0,0.0711581092095891,0.00735655885578453,0,0.0304642564211781,0,0,0,0,0.0785656644176388,0,0.0287916954214491,0,0,0,0.78366371567436,0,0.562470342034821,1.10505357858712
9092,0,0.08207520616164,0.00139353346364578,0,0.0272116123682758,0,0,0.0164898216325215,0,0.0345328168044993,0,0,0,0,0,0.838297009569418,0,0.518667894704802,1.19587560745849
9093,0,0.0361588235825772,0,0,0,0.0518680757176491,0,0,0,0.0911891754501885,0,0.126013290617874,0,0.000396110125377577,0,0.694374524506334,0,0.633608455624911,0.968945178032703
9094,0,0.0951779121600556,0,0.010302121003047,0.00216893059444579,0.0380239494047644,0.00549020493978483,0,0,0.0969836836001633,0,0.207057342980547,0,0.00822851352455019,0,0.536567341792642,0,0.60279959016456,0.911686764236728
9095,0,0.0322341072418857,0.00238351781518059,0,0,0.0552909090235936,0,0,0,0.034486029201756,0.0096264301572882,0.136565831972176,0,0,0,0.729413174588119,0,0.602204481292204,1.03573995132749
9096,0,0.0102236381080046,0.00164129276360007,0,0,0.0926713889715121,0,0,0,0.0968665439872902,0.0177271866876911,0.155432943093056,0,0.00154743514812421,0,0.623889571240722,0,0.603802309294894,0.958563026480366
9097,0,0.0399927473644808,0.00876379303227063,0.0117462519533137,0,0.0872022205643927,0.00240521783348268,0,0,0.0707626313990595,0.0384472260713026,0.127289003504907,0,0.0063395611746589,0,0.607051347102131,0,0.628732487328928,0.907136636783856
9098,0,0.0379354834117243,0.0409113001859517,0.0388493889457888,0,0.097341200062809,0.0220227809870753,0,0,0.0592488657387027,0.057305471673089,0.164606424984254,0,0.00152074617478,0,0.480258337835825,0,0.600741167690064,0.870208012165252
