color	gene_n
orchid	ABCB10
orchid	ABCC13
orchid	ABCC4
orchid	ABCG2
orchid	AC007256.1
orchid	AC010615.2
orchid	AC073342.2
orchid	AC092490.1
orchid	AC092620.1
orchid	AC100810.1
orchid	AC107068.1
orchid	AC123912.4
orchid	AC130456.3
orchid	ACP1
orchid	ADIPOR1
orchid	AHSP
orchid	AIDA
orchid	ALAD
orchid	ALAS2
orchid	ALDH5A1
orchid	ALKBH5
orchid	AMFR
orchid	ANK1
orchid	ANKRD9
orchid	ANP32B
orchid	AP000787.1
orchid	AP2A1
orchid	AP2M1
orchid	ARHGEF12
orchid	ARHGEF37
orchid	ARL4A
orchid	ARL6IP1
orchid	ARRDC2
orchid	ASCC2
orchid	ATG14
orchid	ATP6V0CP4
orchid	B4GALT3
orchid	BAG1
orchid	BAG6
orchid	BBOF1
orchid	BCL2L1
orchid	BCL2L13
orchid	BEND7
orchid	BIRC2
orchid	BLVRB
orchid	BMP2K
orchid	BNIP3L
orchid	BPGM
orchid	BRPF3
orchid	BSG
orchid	BTF3
orchid	C1orf116
orchid	C9orf78
orchid	CA1
orchid	CARM1
orchid	CASTOR2
orchid	CCNDBP1
orchid	CCNI
orchid	CCS
orchid	CDC34
orchid	CDH1
orchid	CDK12
orchid	CDYL
orchid	CHPT1
orchid	CISD2
orchid	CITED2
orchid	CLCN3
orchid	CLIC2
orchid	CLTB
orchid	CMBL
orchid	CNPPD1
orchid	CR1L
orchid	CSDE1
orchid	CTNNAL1
orchid	DAP
orchid	DCAF12
orchid	DCAF6
orchid	DCK
orchid	DCTN4
orchid	DCUN1D1
orchid	DDI2
orchid	DMTN
orchid	DNAJA4
orchid	DNAJB2
orchid	DNAJC6
orchid	DOK4
orchid	DPM2
orchid	DYRK3
orchid	E2F2
orchid	ECSIT
orchid	EIF1
orchid	EIF1B
orchid	EIF2AK1
orchid	ELOF1
orchid	ELOVL6
orchid	EMC3
orchid	ENTPD5
orchid	EPB41
orchid	EPB42
orchid	ERMAP
orchid	ERN1
orchid	ESRG
orchid	FAM104A
orchid	FAM117A
orchid	FAM20B
orchid	FAM210B
orchid	FAXDC2
orchid	FBXO7
orchid	FBXO9
orchid	FECH
orchid	FEM1A
orchid	FHDC1
orchid	FIS1
orchid	FKBP8
orchid	FN1
orchid	FOXO3
orchid	FOXO4
orchid	FRMD4A
orchid	FTL
orchid	FUNDC2
orchid	GABARAPL1
orchid	GABARAPL2
orchid	GAPVD1
orchid	GATA1
orchid	GCLC
orchid	GDE1
orchid	GID4
orchid	GID8
orchid	GLRX5
orchid	GMPR
orchid	GNAS
orchid	GPLD1
orchid	GPR146
orchid	GSPT1
orchid	GUCD1
orchid	GUK1
orchid	GYPB
orchid	GYPC
orchid	H2AW
orchid	H2BU1
orchid	HAGH
orchid	HBQ1
orchid	HDGF
orchid	HECTD4
orchid	HEMGN
orchid	HEXIM1
orchid	HK1
orchid	HMBS
orchid	HPS1
orchid	IBA57
orchid	IFIT1B
orchid	IGF2BP2
orchid	INPP5K
orchid	ISCA1
orchid	ITGB4
orchid	JAZF1
orchid	JUND
orchid	KANK2
orchid	KAT2B
orchid	KDM7A-DT
orchid	KEL
orchid	KIAA1191
orchid	KLC3
orchid	KLF1
orchid	KLF3
orchid	KLHDC2
orchid	KLHDC8A
orchid	KPNA1
orchid	KRT1
orchid	LEPR
orchid	LGALS3
